state,district,year,season,crop,area_hectares,production_tonnes,yield_tonnes_per_hectare,source_type
Tamil Nadu,Dharmapuri,2018,Kharif,Groundnut,6911.25,13873.07,2.007,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Kharif,Rice,9090.98,37099.66,4.081,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Kharif,Soybean,2417.75,3922.53,1.622,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Kharif,Millet,4097.7,8419.44,2.055,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Rabi,Maize,7213.69,32876.12,4.557,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Rabi,Mustard,446.91,580.5,1.299,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Rabi,Groundnut,3387.97,5759.87,1.7,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Rabi,Wheat,1419.93,3386.88,2.385,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Summer,Rice,7271.52,21974.62,3.022,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Summer,Watermelon,1257.82,17877.01,14.213,synthetic_prototype
Tamil Nadu,Dharmapuri,2018,Summer,Millet,1848.49,3260.67,1.764,synthetic_prototype
Tamil Nadu,Dindigul,2018,Kharif,Millet,1915.88,4868.87,2.541,synthetic_prototype
Tamil Nadu,Dindigul,2018,Kharif,Soybean,3030.48,6048.19,1.996,synthetic_prototype
Tamil Nadu,Dindigul,2018,Kharif,Cotton,1215.91,1997.34,1.643,synthetic_prototype
Tamil Nadu,Dindigul,2018,Kharif,Maize,8099.88,32500.52,4.012,synthetic_prototype
Tamil Nadu,Dindigul,2018,Rabi,Pulses,3785.02,3449.7,0.911,synthetic_prototype
Tamil Nadu,Dindigul,2018,Rabi,Maize,4726.14,20784.3,4.398,synthetic_prototype
Tamil Nadu,Dindigul,2018,Rabi,Groundnut,6547.92,10302.55,1.573,synthetic_prototype
Tamil Nadu,Dindigul,2018,Rabi,Wheat,1042.97,2199.96,2.109,synthetic_prototype
Tamil Nadu,Dindigul,2018,Summer,Watermelon,1119.44,15226.03,13.601,synthetic_prototype
Tamil Nadu,Dindigul,2018,Summer,Millet,939.41,2256.58,2.402,synthetic_prototype
Tamil Nadu,Dindigul,2018,Summer,Rice,4823.91,18736.52,3.884,synthetic_prototype
Tamil Nadu,Erode,2018,Kharif,Groundnut,4214.29,9890.3,2.347,synthetic_prototype
Tamil Nadu,Erode,2018,Kharif,Millet,1051.78,2651.68,2.521,synthetic_prototype
Tamil Nadu,Erode,2018,Kharif,Rice,10657.12,43082.13,4.043,synthetic_prototype
Tamil Nadu,Erode,2018,Kharif,Soybean,4070.59,8416.37,2.068,synthetic_prototype
Tamil Nadu,Erode,2018,Rabi,Maize,3263.47,16046.59,4.917,synthetic_prototype
Tamil Nadu,Erode,2018,Rabi,Rice,7735.74,35798.83,4.628,synthetic_prototype
Tamil Nadu,Erode,2018,Rabi,Groundnut,1942.65,3946.22,2.031,synthetic_prototype
Tamil Nadu,Erode,2018,Rabi,Pulses,1984.57,2027.99,1.022,synthetic_prototype
Tamil Nadu,Erode,2018,Summer,Rice,6875.11,22985.39,3.343,synthetic_prototype
Tamil Nadu,Erode,2018,Summer,Groundnut,2527.58,4114.48,1.628,synthetic_prototype
Tamil Nadu,Erode,2018,Summer,Millet,910.59,1770.98,1.945,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Kharif,Maize,7717.51,37441.58,4.852,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Kharif,Soybean,2869.05,5602.16,1.953,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Kharif,Rice,8825.73,33957.48,3.848,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Kharif,Groundnut,6027.37,13799.36,2.289,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Rabi,Groundnut,1320.89,2521.46,1.909,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Rabi,Mustard,2347.29,3064.16,1.305,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Rabi,Pulses,2029.01,2235.83,1.102,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Rabi,Rice,5844.86,28165.46,4.819,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Summer,Rice,3474.96,13350.24,3.842,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Summer,Maize,1859.54,7319.25,3.936,synthetic_prototype
Tamil Nadu,Kallakurichi,2018,Summer,Watermelon,1297.02,22552.18,17.388,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Kharif,Soybean,1641.96,3218.59,1.96,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Kharif,Groundnut,3322.38,7019.11,2.113,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Kharif,Maize,7008.17,38996.85,5.564,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Kharif,Rice,14239.96,51357.19,3.607,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Rabi,Wheat,1548.99,3586.28,2.315,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Rabi,Groundnut,1091.55,2031.7,1.861,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Rabi,Rice,10015.62,40916.14,4.085,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Rabi,Maize,4986.41,23760.23,4.765,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Summer,Maize,2737.77,12460.13,4.551,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Summer,Groundnut,2558.16,4432.07,1.733,synthetic_prototype
Tamil Nadu,Kanchipuram,2018,Summer,Rice,2921.79,11064.83,3.787,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Kharif,Groundnut,2229.25,4455.34,1.999,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Kharif,Cotton,3965.18,7804.87,1.968,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Kharif,Soybean,2581.33,5613.88,2.175,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Kharif,Maize,6743.3,31007.84,4.598,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Rabi,Maize,6682.74,32803.61,4.909,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Rabi,Rice,7588.77,31328.46,4.128,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Rabi,Mustard,1921.95,2194.41,1.142,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Rabi,Pulses,4145.56,3687.82,0.89,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Summer,Millet,827.2,1739.81,2.103,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Summer,Rice,3340.4,12158.7,3.64,synthetic_prototype
Tamil Nadu,Kanniyakumari,2018,Summer,Groundnut,3874.91,7461.84,1.926,synthetic_prototype
Tamil Nadu,Karur,2018,Kharif,Groundnut,2216.54,5060.9,2.283,synthetic_prototype
Tamil Nadu,Karur,2018,Kharif,Maize,6373.31,32765.9,5.141,synthetic_prototype
Tamil Nadu,Karur,2018,Kharif,Rice,12083.45,47480.86,3.929,synthetic_prototype
Tamil Nadu,Karur,2018,Kharif,Soybean,1162.97,2089.18,1.796,synthetic_prototype
Tamil Nadu,Karur,2018,Rabi,Maize,6008.26,30865.17,5.137,synthetic_prototype
Tamil Nadu,Karur,2018,Rabi,Rice,7540.11,26586.72,3.526,synthetic_prototype
Tamil Nadu,Karur,2018,Rabi,Pulses,2515.79,2270.15,0.902,synthetic_prototype
Tamil Nadu,Karur,2018,Rabi,Wheat,634.66,1640.16,2.584,synthetic_prototype
Tamil Nadu,Karur,2018,Summer,Rice,1605.34,4875.67,3.037,synthetic_prototype
Tamil Nadu,Karur,2018,Summer,Millet,1894.54,3682.76,1.944,synthetic_prototype
Tamil Nadu,Karur,2018,Summer,Maize,2956.95,12972.33,4.387,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Kharif,Cotton,1806.72,2729.09,1.511,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Kharif,Groundnut,5494.22,9788.12,1.782,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Kharif,Soybean,1523.59,3395.67,2.229,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Kharif,Millet,3998.33,8132.37,2.034,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Rabi,Groundnut,2758.84,4306.96,1.561,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Rabi,Mustard,1670.76,1716.56,1.027,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Rabi,Wheat,1756.89,4809.86,2.738,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Rabi,Pulses,1448.0,1666.5,1.151,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Summer,Rice,1403.6,4248.74,3.027,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Summer,Maize,2004.33,8069.47,4.026,synthetic_prototype
Tamil Nadu,Krishnagiri,2018,Summer,Millet,1467.02,2984.94,2.035,synthetic_prototype
Tamil Nadu,Madurai,2018,Kharif,Rice,10936.82,47922.03,4.382,synthetic_prototype
Tamil Nadu,Madurai,2018,Kharif,Millet,3073.95,7490.99,2.437,synthetic_prototype
Tamil Nadu,Madurai,2018,Kharif,Groundnut,2330.54,5400.28,2.317,synthetic_prototype
Tamil Nadu,Madurai,2018,Kharif,Soybean,1256.77,2599.46,2.068,synthetic_prototype
Tamil Nadu,Madurai,2018,Rabi,Maize,3545.35,15585.33,4.396,synthetic_prototype
Tamil Nadu,Madurai,2018,Rabi,Rice,4761.9,18367.53,3.857,synthetic_prototype
Tamil Nadu,Madurai,2018,Rabi,Wheat,1525.15,4103.77,2.691,synthetic_prototype
Tamil Nadu,Madurai,2018,Rabi,Groundnut,2635.79,4442.62,1.685,synthetic_prototype
Tamil Nadu,Madurai,2018,Summer,Maize,3160.9,13025.49,4.121,synthetic_prototype
Tamil Nadu,Madurai,2018,Summer,Rice,3743.85,12509.24,3.341,synthetic_prototype
Tamil Nadu,Madurai,2018,Summer,Groundnut,2071.89,3821.12,1.844,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Kharif,Rice,6384.51,23256.34,3.643,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Kharif,Soybean,1352.41,2354.94,1.741,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Kharif,Maize,7928.11,40096.5,5.058,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Kharif,Groundnut,2340.91,4207.84,1.798,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Rabi,Wheat,785.84,1904.73,2.424,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Rabi,Groundnut,3341.64,5140.2,1.538,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Rabi,Rice,2491.64,12411.84,4.981,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Rabi,Maize,5430.5,20178.09,3.716,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Summer,Millet,1263.02,2143.21,1.697,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Summer,Watermelon,1534.38,29306.82,19.1,synthetic_prototype
Tamil Nadu,Mayiladuthurai,2018,Summer,Maize,1668.53,7258.37,4.35,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Kharif,Soybean,771.12,1483.39,1.924,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Kharif,Cotton,3035.21,5677.66,1.871,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Kharif,Groundnut,5036.67,11566.99,2.297,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Kharif,Millet,2226.11,5082.44,2.283,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Rabi,Wheat,1690.13,3934.23,2.328,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Rabi,Groundnut,3350.58,5477.22,1.635,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Rabi,Maize,1377.48,5965.21,4.331,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Rabi,Rice,7353.94,27765.96,3.776,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Summer,Maize,4544.22,19735.06,4.343,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Summer,Millet,2501.36,5017.91,2.006,synthetic_prototype
Tamil Nadu,Nagapattinam,2018,Summer,Rice,4124.54,18041.79,4.374,synthetic_prototype
Tamil Nadu,Namakkal,2018,Kharif,Groundnut,5270.18,12156.07,2.307,synthetic_prototype
Tamil Nadu,Namakkal,2018,Kharif,Soybean,1851.94,3208.82,1.733,synthetic_prototype
Tamil Nadu,Namakkal,2018,Kharif,Cotton,2602.75,4722.85,1.815,synthetic_prototype
Tamil Nadu,Namakkal,2018,Kharif,Millet,2980.1,8094.13,2.716,synthetic_prototype
Tamil Nadu,Namakkal,2018,Rabi,Wheat,860.76,2592.24,3.012,synthetic_prototype
Tamil Nadu,Namakkal,2018,Rabi,Groundnut,2917.72,6066.23,2.079,synthetic_prototype
Tamil Nadu,Namakkal,2018,Rabi,Rice,11260.32,52644.02,4.675,synthetic_prototype
Tamil Nadu,Namakkal,2018,Rabi,Pulses,1592.79,1608.88,1.01,synthetic_prototype
Tamil Nadu,Namakkal,2018,Summer,Rice,4431.84,13939.15,3.145,synthetic_prototype
Tamil Nadu,Namakkal,2018,Summer,Watermelon,763.74,13801.86,18.071,synthetic_prototype
Tamil Nadu,Namakkal,2018,Summer,Millet,2371.51,5284.22,2.228,synthetic_prototype
Tamil Nadu,Perambalur,2018,Kharif,Soybean,1455.39,3250.72,2.234,synthetic_prototype
Tamil Nadu,Perambalur,2018,Kharif,Millet,2807.14,7884.77,2.809,synthetic_prototype
Tamil Nadu,Perambalur,2018,Kharif,Maize,6741.08,30583.62,4.537,synthetic_prototype
Tamil Nadu,Perambalur,2018,Kharif,Rice,4936.97,21490.52,4.353,synthetic_prototype
Tamil Nadu,Perambalur,2018,Rabi,Maize,5878.94,25330.22,4.309,synthetic_prototype
Tamil Nadu,Perambalur,2018,Rabi,Wheat,1356.66,4246.53,3.13,synthetic_prototype
Tamil Nadu,Perambalur,2018,Rabi,Pulses,2983.19,2663.11,0.893,synthetic_prototype
Tamil Nadu,Perambalur,2018,Rabi,Rice,8585.23,30406.4,3.542,synthetic_prototype
Tamil Nadu,Perambalur,2018,Summer,Maize,3015.79,12517.58,4.151,synthetic_prototype
Tamil Nadu,Perambalur,2018,Summer,Groundnut,1727.98,3679.02,2.129,synthetic_prototype
Tamil Nadu,Perambalur,2018,Summer,Millet,1227.48,2420.23,1.972,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Kharif,Groundnut,6989.29,12913.17,1.848,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Kharif,Cotton,4560.03,6523.73,1.431,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Kharif,Rice,14304.98,58281.56,4.074,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Kharif,Maize,8096.75,37241.09,4.6,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Rabi,Rice,6930.74,25665.92,3.703,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Rabi,Wheat,1792.1,4214.11,2.351,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Rabi,Mustard,1654.32,2219.45,1.342,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Rabi,Pulses,4578.96,4518.89,0.987,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Summer,Millet,1971.82,4680.74,2.374,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Summer,Groundnut,3191.2,5758.65,1.805,synthetic_prototype
Tamil Nadu,Pudukkottai,2018,Summer,Rice,4205.64,15243.79,3.625,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Kharif,Cotton,3188.45,6035.87,1.893,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Kharif,Groundnut,7799.73,17609.73,2.258,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Kharif,Millet,2597.72,6638.73,2.556,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Kharif,Rice,15517.58,49890.43,3.215,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Rabi,Pulses,2312.65,2519.21,1.089,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Rabi,Groundnut,5628.82,11403.37,2.026,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Rabi,Mustard,1925.84,2632.15,1.367,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Rabi,Maize,3300.68,12515.02,3.792,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Summer,Maize,1289.15,6122.82,4.75,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Summer,Rice,4215.61,18468.16,4.381,synthetic_prototype
Tamil Nadu,Ramanathapuram,2018,Summer,Groundnut,1165.7,1877.05,1.61,synthetic_prototype
Tamil Nadu,Ranipet,2018,Kharif,Soybean,1236.19,2777.35,2.247,synthetic_prototype
Tamil Nadu,Ranipet,2018,Kharif,Millet,3124.15,7900.63,2.529,synthetic_prototype
Tamil Nadu,Ranipet,2018,Kharif,Maize,5113.05,28831.58,5.639,synthetic_prototype
Tamil Nadu,Ranipet,2018,Kharif,Cotton,4717.41,8025.48,1.701,synthetic_prototype
Tamil Nadu,Ranipet,2018,Rabi,Rice,3546.73,14377.41,4.054,synthetic_prototype
Tamil Nadu,Ranipet,2018,Rabi,Wheat,546.63,1598.89,2.925,synthetic_prototype
Tamil Nadu,Ranipet,2018,Rabi,Groundnut,7886.14,16279.9,2.064,synthetic_prototype
Tamil Nadu,Ranipet,2018,Rabi,Mustard,2901.22,3936.32,1.357,synthetic_prototype
Tamil Nadu,Ranipet,2018,Summer,Millet,2537.65,5711.61,2.251,synthetic_prototype
Tamil Nadu,Ranipet,2018,Summer,Watermelon,1702.29,30280.27,17.788,synthetic_prototype
Tamil Nadu,Ranipet,2018,Summer,Rice,7165.2,24882.12,3.473,synthetic_prototype
Tamil Nadu,Salem,2018,Kharif,Maize,2527.79,13056.7,5.165,synthetic_prototype
Tamil Nadu,Salem,2018,Kharif,Millet,1602.89,3826.17,2.387,synthetic_prototype
Tamil Nadu,Salem,2018,Kharif,Soybean,3993.87,8750.34,2.191,synthetic_prototype
Tamil Nadu,Salem,2018,Kharif,Groundnut,6078.46,13557.25,2.23,synthetic_prototype
Tamil Nadu,Salem,2018,Rabi,Mustard,2288.57,3318.49,1.45,synthetic_prototype
Tamil Nadu,Salem,2018,Rabi,Wheat,2491.67,7817.07,3.137,synthetic_prototype
Tamil Nadu,Salem,2018,Rabi,Rice,16771.39,67134.03,4.003,synthetic_prototype
Tamil Nadu,Salem,2018,Rabi,Pulses,3605.45,3782.57,1.049,synthetic_prototype
Tamil Nadu,Salem,2018,Summer,Rice,5739.73,25382.23,4.422,synthetic_prototype
Tamil Nadu,Salem,2018,Summer,Maize,1286.11,4308.72,3.35,synthetic_prototype
Tamil Nadu,Salem,2018,Summer,Millet,3226.61,7780.96,2.411,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Kharif,Millet,2513.29,4832.11,1.923,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Kharif,Soybean,802.88,1277.65,1.591,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Kharif,Groundnut,2087.95,3938.03,1.886,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Kharif,Cotton,2797.25,5388.53,1.926,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Rabi,Maize,5502.52,28579.52,5.194,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Rabi,Rice,4763.66,17871.44,3.752,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Rabi,Mustard,964.86,1114.29,1.155,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Rabi,Wheat,1617.61,4941.65,3.055,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Summer,Watermelon,405.68,7819.76,19.275,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Summer,Millet,1463.18,3197.36,2.185,synthetic_prototype
Tamil Nadu,Sivaganga,2018,Summer,Maize,1855.89,8556.53,4.61,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Kharif,Cotton,3797.05,6057.26,1.595,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Kharif,Groundnut,5438.12,11146.99,2.05,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Kharif,Rice,6561.93,30958.53,4.718,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Kharif,Millet,3248.34,6442.53,1.983,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Rabi,Maize,3185.15,12751.3,4.003,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Rabi,Groundnut,1310.3,2082.68,1.589,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Rabi,Pulses,944.03,922.26,0.977,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Rabi,Mustard,1375.11,1493.23,1.086,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Summer,Watermelon,1043.3,14551.59,13.948,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Summer,Maize,2083.53,9258.94,4.444,synthetic_prototype
Tamil Nadu,Tenkasi,2018,Summer,Groundnut,2085.29,3088.95,1.481,synthetic_prototype
Tamil Nadu,Thanjavur,2018,Kharif,Cotton,2203.81,4012.14,1.821,synthetic_prototype
Tamil Nadu,Thanjavur,2018,Kharif,Millet,2599.89,6184.42,2.379,synthetic_prototype
Tamil Nadu,Thanjavur,2018,Kharif,Soybean,1804.61,2848.73,1.579,synthetic_prototype
Tamil Nadu,Thanjavur,2018,Kharif,Maize,7013.61,34953.9,4.984,synthetic_prototype
Tamil Nadu,Thanjavur,2018,Rabi,Maize,4032.38,17093.4,4.239,synthetic_prototype
Tamil Nadu,Thanjavur,2018,Rabi,Rice,8011.47,31347.21,3.913,synthetic_prototype
Tamil Nadu,Thanjavur,2018,Rabi,Mustard,1077.75,1415.43,1.313,synthetic_prototype
