state,district,year,season,rainfall,soil_moisture,water_availability,area_hectares,production_tonnes,yield_tonnes_per_hectare,recommended_crop,source_type
Tamil Nadu,CHENGALPATTU,2018,Rabi,438.4777777777779,,Unknown,1670.62,3697.19,2.213,Groundnut,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Summer,134.12307692307692,,Unknown,3323.47,12290.56,3.698,Rice,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Summer,134.12307692307692,,Unknown,535.3,9279.62,17.335,Watermelon,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Summer,134.12307692307692,,Unknown,1070.99,2567.25,2.397,Millet,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Kharif,330.9059829059829,21.27328608612097,Low,887.13,1759.24,1.983,Millet,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Kharif,330.9059829059829,21.27328608612097,Low,2449.61,4461.88,1.821,Soybean,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Kharif,330.9059829059829,21.27328608612097,Low,3079.49,14570.51,4.731,Rice,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Kharif,330.9059829059829,21.27328608612097,Low,6029.89,32430.36,5.378,Maize,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Rabi,438.4777777777779,21.27328608612097,Low,1142.39,1159.36,1.015,Pulses,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Rabi,438.4777777777779,21.27328608612097,Low,2187.78,5213.24,2.383,Wheat,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Rabi,438.4777777777779,21.27328608612097,Low,2557.89,5602.53,2.19,Groundnut,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Rabi,438.4777777777779,21.27328608612097,Low,5259.65,24528.64,4.664,Maize,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Summer,134.12307692307692,21.27328608612097,Low,2515.04,4992.48,1.985,Groundnut,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Summer,134.12307692307692,21.27328608612097,Low,730.43,11489.65,15.73,Watermelon,synthetic_prototype
Tamil Nadu,CHENNAI,2018,Summer,134.12307692307692,21.27328608612097,Low,1377.06,5962.14,4.33,Rice,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Kharif,330.9059829059829,29.7236860548,High,1162.87,2261.86,1.945,Millet,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Kharif,330.9059829059829,29.7236860548,High,2901.25,4643.6,1.601,Soybean,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Kharif,330.9059829059829,29.7236860548,High,3131.74,5067.65,1.618,Cotton,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Kharif,330.9059829059829,29.7236860548,High,11721.16,40940.52,3.493,Rice,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Rabi,438.4777777777779,29.7236860548,High,6482.01,23262.25,3.589,Rice,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Rabi,438.4777777777779,29.7236860548,High,1766.18,3437.7,1.946,Groundnut,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Rabi,438.4777777777779,29.7236860548,High,747.44,756.64,1.012,Mustard,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Rabi,438.4777777777779,29.7236860548,High,4135.97,21235.94,5.134,Maize,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Summer,134.12307692307692,29.7236860548,High,1709.22,7180.29,4.201,Maize,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Summer,134.12307692307692,29.7236860548,High,1508.01,26293.4,17.436,Watermelon,synthetic_prototype
Tamil Nadu,COIMBATORE,2018,Summer,134.12307692307692,29.7236860548,High,1056.32,2103.26,1.991,Millet,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Kharif,330.9059829059829,30.017899455080645,High,3100.89,5987.57,1.931,Millet,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Kharif,330.9059829059829,30.017899455080645,High,5033.48,8189.77,1.627,Groundnut,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Kharif,330.9059829059829,30.017899455080645,High,7615.59,30199.07,3.965,Maize,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Kharif,330.9059829059829,30.017899455080645,High,1873.86,2865.04,1.529,Cotton,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Rabi,438.4777777777779,30.017899455080645,High,1538.52,1917.92,1.247,Mustard,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Rabi,438.4777777777779,30.017899455080645,High,1300.84,1525.86,1.173,Pulses,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Rabi,438.4777777777779,30.017899455080645,High,14453.86,69667.51,4.82,Rice,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Rabi,438.4777777777779,30.017899455080645,High,1709.3,2845.54,1.665,Groundnut,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Summer,134.12307692307692,30.017899455080645,High,627.31,1311.52,2.091,Groundnut,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Summer,134.12307692307692,30.017899455080645,High,3126.75,13949.21,4.461,Maize,synthetic_prototype
Tamil Nadu,CUDDALORE,2018,Summer,134.12307692307692,30.017899455080645,High,2525.42,5560.72,2.202,Millet,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Kharif,330.9059829059829,28.06294488487903,Medium,6911.25,13873.07,2.007,Groundnut,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Kharif,330.9059829059829,28.06294488487903,Medium,9090.98,37099.66,4.081,Rice,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Kharif,330.9059829059829,28.06294488487903,Medium,2417.75,3922.53,1.622,Soybean,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Kharif,330.9059829059829,28.06294488487903,Medium,4097.7,8419.44,2.055,Millet,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Rabi,438.4777777777779,28.06294488487903,Medium,7213.69,32876.12,4.557,Maize,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Rabi,438.4777777777779,28.06294488487903,Medium,446.91,580.5,1.299,Mustard,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Rabi,438.4777777777779,28.06294488487903,Medium,3387.97,5759.87,1.7,Groundnut,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Rabi,438.4777777777779,28.06294488487903,Medium,1419.93,3386.88,2.385,Wheat,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Summer,134.12307692307692,28.06294488487903,Medium,7271.52,21974.62,3.022,Rice,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Summer,134.12307692307692,28.06294488487903,Medium,1257.82,17877.01,14.213,Watermelon,synthetic_prototype
Tamil Nadu,DHARMAPURI,2018,Summer,134.12307692307692,28.06294488487903,Medium,1848.49,3260.67,1.764,Millet,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Kharif,330.9059829059829,28.69312810556,Medium,1915.88,4868.87,2.541,Millet,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Kharif,330.9059829059829,28.69312810556,Medium,3030.48,6048.19,1.996,Soybean,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Kharif,330.9059829059829,28.69312810556,Medium,1215.91,1997.34,1.643,Cotton,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Kharif,330.9059829059829,28.69312810556,Medium,8099.88,32500.52,4.012,Maize,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Rabi,438.4777777777779,28.69312810556,Medium,3785.02,3449.7,0.911,Pulses,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Rabi,438.4777777777779,28.69312810556,Medium,4726.14,20784.3,4.398,Maize,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Rabi,438.4777777777779,28.69312810556,Medium,6547.92,10302.55,1.573,Groundnut,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Rabi,438.4777777777779,28.69312810556,Medium,1042.97,2199.96,2.109,Wheat,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Summer,134.12307692307692,28.69312810556,Medium,1119.44,15226.03,13.601,Watermelon,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Summer,134.12307692307692,28.69312810556,Medium,939.41,2256.58,2.402,Millet,synthetic_prototype
Tamil Nadu,DINDIGUL,2018,Summer,134.12307692307692,28.69312810556,Medium,4823.91,18736.52,3.884,Rice,synthetic_prototype
Tamil Nadu,ERODE,2018,Kharif,330.9059829059829,27.250912962701612,Low,4214.29,9890.3,2.347,Groundnut,synthetic_prototype
Tamil Nadu,ERODE,2018,Kharif,330.9059829059829,27.250912962701612,Low,1051.78,2651.68,2.521,Millet,synthetic_prototype
Tamil Nadu,ERODE,2018,Kharif,330.9059829059829,27.250912962701612,Low,10657.12,43082.13,4.043,Rice,synthetic_prototype
Tamil Nadu,ERODE,2018,Kharif,330.9059829059829,27.250912962701612,Low,4070.59,8416.37,2.068,Soybean,synthetic_prototype
Tamil Nadu,ERODE,2018,Rabi,438.4777777777779,27.250912962701612,Low,3263.47,16046.59,4.917,Maize,synthetic_prototype
Tamil Nadu,ERODE,2018,Rabi,438.4777777777779,27.250912962701612,Low,7735.74,35798.83,4.628,Rice,synthetic_prototype
Tamil Nadu,ERODE,2018,Rabi,438.4777777777779,27.250912962701612,Low,1942.65,3946.22,2.031,Groundnut,synthetic_prototype
Tamil Nadu,ERODE,2018,Rabi,438.4777777777779,27.250912962701612,Low,1984.57,2027.99,1.022,Pulses,synthetic_prototype
Tamil Nadu,ERODE,2018,Summer,134.12307692307692,27.250912962701612,Low,6875.11,22985.39,3.343,Rice,synthetic_prototype
Tamil Nadu,ERODE,2018,Summer,134.12307692307692,27.250912962701612,Low,2527.58,4114.48,1.628,Groundnut,synthetic_prototype
Tamil Nadu,ERODE,2018,Summer,134.12307692307692,27.250912962701612,Low,910.59,1770.98,1.945,Millet,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Kharif,330.9059829059829,,Unknown,7717.51,37441.58,4.852,Maize,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Kharif,330.9059829059829,,Unknown,2869.05,5602.16,1.953,Soybean,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Kharif,330.9059829059829,,Unknown,8825.73,33957.48,3.848,Rice,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Kharif,330.9059829059829,,Unknown,6027.37,13799.36,2.289,Groundnut,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Rabi,438.4777777777779,,Unknown,1320.89,2521.46,1.909,Groundnut,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Rabi,438.4777777777779,,Unknown,2347.29,3064.16,1.305,Mustard,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Rabi,438.4777777777779,,Unknown,2029.01,2235.83,1.102,Pulses,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Rabi,438.4777777777779,,Unknown,5844.86,28165.46,4.819,Rice,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Summer,134.12307692307692,,Unknown,3474.96,13350.24,3.842,Rice,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Summer,134.12307692307692,,Unknown,1859.54,7319.25,3.936,Maize,synthetic_prototype
Tamil Nadu,KALLAKURICHI,2018,Summer,134.12307692307692,,Unknown,1297.02,22552.18,17.388,Watermelon,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Kharif,330.9059829059829,,Unknown,1641.96,3218.59,1.96,Soybean,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Kharif,330.9059829059829,,Unknown,3322.38,7019.11,2.113,Groundnut,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Kharif,330.9059829059829,,Unknown,7008.17,38996.85,5.564,Maize,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Kharif,330.9059829059829,,Unknown,14239.96,51357.19,3.607,Rice,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Rabi,438.4777777777779,,Unknown,1548.99,3586.28,2.315,Wheat,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Rabi,438.4777777777779,,Unknown,1091.55,2031.7,1.861,Groundnut,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Rabi,438.4777777777779,,Unknown,10015.62,40916.14,4.085,Rice,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Rabi,438.4777777777779,,Unknown,4986.41,23760.23,4.765,Maize,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Summer,134.12307692307692,,Unknown,2737.77,12460.13,4.551,Maize,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Summer,134.12307692307692,,Unknown,2558.16,4432.07,1.733,Groundnut,synthetic_prototype
Tamil Nadu,KANCHIPURAM,2018,Summer,134.12307692307692,,Unknown,2921.79,11064.83,3.787,Rice,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Kharif,330.9059829059829,31.164836859555997,High,2229.25,4455.34,1.999,Groundnut,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Kharif,330.9059829059829,31.164836859555997,High,3965.18,7804.87,1.968,Cotton,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Kharif,330.9059829059829,31.164836859555997,High,2581.33,5613.88,2.175,Soybean,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Kharif,330.9059829059829,31.164836859555997,High,6743.3,31007.84,4.598,Maize,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Rabi,438.4777777777779,31.164836859555997,High,6682.74,32803.61,4.909,Maize,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Rabi,438.4777777777779,31.164836859555997,High,7588.77,31328.46,4.128,Rice,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Rabi,438.4777777777779,31.164836859555997,High,1921.95,2194.41,1.142,Mustard,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Rabi,438.4777777777779,31.164836859555997,High,4145.56,3687.82,0.89,Pulses,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Summer,134.12307692307692,31.164836859555997,High,827.2,1739.81,2.103,Millet,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Summer,134.12307692307692,31.164836859555997,High,3340.4,12158.7,3.64,Rice,synthetic_prototype
Tamil Nadu,KANNIYAKUMARI,2018,Summer,134.12307692307692,31.164836859555997,High,3874.91,7461.84,1.926,Groundnut,synthetic_prototype
Tamil Nadu,KARUR,2018,Kharif,330.9059829059829,25.69542081294355,Low,2216.54,5060.9,2.283,Groundnut,synthetic_prototype
Tamil Nadu,KARUR,2018,Kharif,330.9059829059829,25.69542081294355,Low,6373.31,32765.9,5.141,Maize,synthetic_prototype
Tamil Nadu,KARUR,2018,Kharif,330.9059829059829,25.69542081294355,Low,12083.45,47480.86,3.929,Rice,synthetic_prototype
Tamil Nadu,KARUR,2018,Kharif,330.9059829059829,25.69542081294355,Low,1162.97,2089.18,1.796,Soybean,synthetic_prototype
Tamil Nadu,KARUR,2018,Rabi,438.4777777777779,25.69542081294355,Low,6008.26,30865.17,5.137,Maize,synthetic_prototype
Tamil Nadu,KARUR,2018,Rabi,438.4777777777779,25.69542081294355,Low,7540.11,26586.72,3.526,Rice,synthetic_prototype
Tamil Nadu,KARUR,2018,Rabi,438.4777777777779,25.69542081294355,Low,2515.79,2270.15,0.902,Pulses,synthetic_prototype
Tamil Nadu,KARUR,2018,Rabi,438.4777777777779,25.69542081294355,Low,634.66,1640.16,2.584,Wheat,synthetic_prototype
Tamil Nadu,KARUR,2018,Summer,134.12307692307692,25.69542081294355,Low,1605.34,4875.67,3.037,Rice,synthetic_prototype
Tamil Nadu,KARUR,2018,Summer,134.12307692307692,25.69542081294355,Low,1894.54,3682.76,1.944,Millet,synthetic_prototype
Tamil Nadu,KARUR,2018,Summer,134.12307692307692,25.69542081294355,Low,2956.95,12972.33,4.387,Maize,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Kharif,330.9059829059829,27.765414212580644,Medium,1806.72,2729.09,1.511,Cotton,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Kharif,330.9059829059829,27.765414212580644,Medium,5494.22,9788.12,1.782,Groundnut,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Kharif,330.9059829059829,27.765414212580644,Medium,1523.59,3395.67,2.229,Soybean,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Kharif,330.9059829059829,27.765414212580644,Medium,3998.33,8132.37,2.034,Millet,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Rabi,438.4777777777779,27.765414212580644,Medium,2758.84,4306.96,1.561,Groundnut,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Rabi,438.4777777777779,27.765414212580644,Medium,1670.76,1716.56,1.027,Mustard,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Rabi,438.4777777777779,27.765414212580644,Medium,1756.89,4809.86,2.738,Wheat,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Rabi,438.4777777777779,27.765414212580644,Medium,1448.0,1666.5,1.151,Pulses,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Summer,134.12307692307692,27.765414212580644,Medium,1403.6,4248.74,3.027,Rice,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Summer,134.12307692307692,27.765414212580644,Medium,2004.33,8069.47,4.026,Maize,synthetic_prototype
Tamil Nadu,KRISHNAGIRI,2018,Summer,134.12307692307692,27.765414212580644,Medium,1467.02,2984.94,2.035,Millet,synthetic_prototype
Tamil Nadu,MADURAI,2018,Kharif,330.9059829059829,32.49706241748,High,10936.82,47922.03,4.382,Rice,synthetic_prototype
Tamil Nadu,MADURAI,2018,Kharif,330.9059829059829,32.49706241748,High,3073.95,7490.99,2.437,Millet,synthetic_prototype
Tamil Nadu,MADURAI,2018,Kharif,330.9059829059829,32.49706241748,High,2330.54,5400.28,2.317,Groundnut,synthetic_prototype
Tamil Nadu,MADURAI,2018,Kharif,330.9059829059829,32.49706241748,High,1256.77,2599.46,2.068,Soybean,synthetic_prototype
Tamil Nadu,MADURAI,2018,Rabi,438.4777777777779,32.49706241748,High,3545.35,15585.33,4.396,Maize,synthetic_prototype
Tamil Nadu,MADURAI,2018,Rabi,438.4777777777779,32.49706241748,High,4761.9,18367.53,3.857,Rice,synthetic_prototype
Tamil Nadu,MADURAI,2018,Rabi,438.4777777777779,32.49706241748,High,1525.15,4103.77,2.691,Wheat,synthetic_prototype
Tamil Nadu,MADURAI,2018,Rabi,438.4777777777779,32.49706241748,High,2635.79,4442.62,1.685,Groundnut,synthetic_prototype
Tamil Nadu,MADURAI,2018,Summer,134.12307692307692,32.49706241748,High,3160.9,13025.49,4.121,Maize,synthetic_prototype
Tamil Nadu,MADURAI,2018,Summer,134.12307692307692,32.49706241748,High,3743.85,12509.24,3.341,Rice,synthetic_prototype
Tamil Nadu,MADURAI,2018,Summer,134.12307692307692,32.49706241748,High,2071.89,3821.12,1.844,Groundnut,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Kharif,330.9059829059829,,Unknown,6384.51,23256.34,3.643,Rice,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Kharif,330.9059829059829,,Unknown,1352.41,2354.94,1.741,Soybean,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Kharif,330.9059829059829,,Unknown,7928.11,40096.5,5.058,Maize,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Kharif,330.9059829059829,,Unknown,2340.91,4207.84,1.798,Groundnut,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Rabi,438.4777777777779,,Unknown,785.84,1904.73,2.424,Wheat,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Rabi,438.4777777777779,,Unknown,3341.64,5140.2,1.538,Groundnut,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Rabi,438.4777777777779,,Unknown,2491.64,12411.84,4.981,Rice,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Rabi,438.4777777777779,,Unknown,5430.5,20178.09,3.716,Maize,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Summer,134.12307692307692,,Unknown,1263.02,2143.21,1.697,Millet,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Summer,134.12307692307692,,Unknown,1534.38,29306.82,19.1,Watermelon,synthetic_prototype
Tamil Nadu,MAYILADUTHURAI,2018,Summer,134.12307692307692,,Unknown,1668.53,7258.37,4.35,Maize,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Kharif,330.9059829059829,,Unknown,771.12,1483.39,1.924,Soybean,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Kharif,330.9059829059829,,Unknown,3035.21,5677.66,1.871,Cotton,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Kharif,330.9059829059829,,Unknown,5036.67,11566.99,2.297,Groundnut,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Kharif,330.9059829059829,,Unknown,2226.11,5082.44,2.283,Millet,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Rabi,438.4777777777779,,Unknown,1690.13,3934.23,2.328,Wheat,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Rabi,438.4777777777779,,Unknown,3350.58,5477.22,1.635,Groundnut,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Rabi,438.4777777777779,,Unknown,1377.48,5965.21,4.331,Maize,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Rabi,438.4777777777779,,Unknown,7353.94,27765.96,3.776,Rice,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Summer,134.12307692307692,,Unknown,4544.22,19735.06,4.343,Maize,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Summer,134.12307692307692,,Unknown,2501.36,5017.91,2.006,Millet,synthetic_prototype
Tamil Nadu,NAGAPATTINAM,2018,Summer,134.12307692307692,,Unknown,4124.54,18041.79,4.374,Rice,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Kharif,330.9059829059829,25.152302552862903,Low,5270.18,12156.07,2.307,Groundnut,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Kharif,330.9059829059829,25.152302552862903,Low,1851.94,3208.82,1.733,Soybean,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Kharif,330.9059829059829,25.152302552862903,Low,2602.75,4722.85,1.815,Cotton,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Kharif,330.9059829059829,25.152302552862903,Low,2980.1,8094.13,2.716,Millet,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Rabi,438.4777777777779,25.152302552862903,Low,860.76,2592.24,3.012,Wheat,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Rabi,438.4777777777779,25.152302552862903,Low,2917.72,6066.23,2.079,Groundnut,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Rabi,438.4777777777779,25.152302552862903,Low,11260.32,52644.02,4.675,Rice,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Rabi,438.4777777777779,25.152302552862903,Low,1592.79,1608.88,1.01,Pulses,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Summer,134.12307692307692,25.152302552862903,Low,4431.84,13939.15,3.145,Rice,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Summer,134.12307692307692,25.152302552862903,Low,763.74,13801.86,18.071,Watermelon,synthetic_prototype
Tamil Nadu,NAMAKKAL,2018,Summer,134.12307692307692,25.152302552862903,Low,2371.51,5284.22,2.228,Millet,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Kharif,330.9059829059829,32.95149883487903,High,1455.39,3250.72,2.234,Soybean,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Kharif,330.9059829059829,32.95149883487903,High,2807.14,7884.77,2.809,Millet,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Kharif,330.9059829059829,32.95149883487903,High,6741.08,30583.62,4.537,Maize,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Kharif,330.9059829059829,32.95149883487903,High,4936.97,21490.52,4.353,Rice,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Rabi,438.4777777777779,32.95149883487903,High,5878.94,25330.22,4.309,Maize,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Rabi,438.4777777777779,32.95149883487903,High,1356.66,4246.53,3.13,Wheat,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Rabi,438.4777777777779,32.95149883487903,High,2983.19,2663.11,0.893,Pulses,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Rabi,438.4777777777779,32.95149883487903,High,8585.23,30406.4,3.542,Rice,synthetic_prototype
Tamil Nadu,PERAMBALUR,2018,Summer,134.12307692307692,32.95149883487903,High,3015.79,12517.58,4.151,Maize,synthetic_prototype
